ID,"AVALIACAO","DESCRICAO","NOME","QUANTIDADE","STATUS_PRODUTO","VALOR"
1,"5.0","Entre na câmara de magma do vulcão Þríhnúkagigur para uma experiência gastronômica única, onde você pode se deliciar com iguarias islandesas. Não se estresse, é uma experiência completamente amigável ao COVID, com caminhantes fisicamente distanciados e equipamentos desinfectados após cada uso.","Jante dentro de um vulcão islandês","5","0","5399.90"
2,"3.0","Quando abrir suas portas em 2022, o primeiro hotel espacial de luxo do mundo oferecerá aos caçadores de emoções com US$ 13 milhões a chance de flutuar em gravidade zero, participar de experimentos de pesquisa e testemunhar auroras de cima.","Hotel na Estação Aurora, Orion","3","0","15000.00"
3,"3.0","Quando dinheiro não é objeto, por que não alugar uma cidade inteira? Este intrigante antigo local de mineração já foi deixado para apodrecer, mas foi restaurado ao status de luxo, e fica encantadoramente em um extraordinário vale alpino.","Dunton Hot Springs, Colorado","2","0","70000.00"
4,"4.0","No Canadá, as expedições em busca da aurora boreal dependendo do roteiro passam por Alberta, Northwest Territories, Manitoba, Yukon e Newfoundland and Labrador. É nestas cidades que o fenômeno pode ser apreciado em sua melhor maneira. Há também outras experiências lindas previstas para o meio do caminho, como ver os ursos polares!","Aurora boreal no Canadá ","7","0","5000.00"
5,"3.0","Se você é um fã de coletar todos os lugares de utilitário no quadro, então você vai querer dar um passeio na Monopoly Railway no teatro 4D. Ou gerar energia em uma bicicleta na Companhia Elétrica. E na Water Works haverá um jogo de projeção. Há também um banco, que será preenchido com dinheiro do monopólio voador para tentar agarrar. O dinheiro do Monopoly que você ganha pode ser usado para comprar itens no café e loja de mercadorias Monopoly no local.","Parque temático Monopoly de Melbourne","5","0","3550.44"
6,"2.0","Chamado de Mattel Adventure Park, o parque temático da fabricante de brinquedos levará suas criações mais populares, como Barbie e Hot Wheels, e as usará como inspiração para criar atrações e passeios emocionantes.","Parque temático da Mattel","12","0","17000.99"
7,"3.0","A poucos minutos de distância de Peninsula Hot Springs é Alba Thermal Springs and Spa - um opulento retiro neutro em carbono, onde mais de 30 piscinas estão espalhadas por pastagens nativas e jardins meticulosamente paisagísticos. Recomenda-se que você desintoxicar digitalmente deixando seu telefone em seu armário, mas é difícil cumprir quando o design e a arquitetura são tão impressionantes. Há vagens geotérmicas curvas em forma de concha, piscinas com infusão de ervas, grutas de concreto e piscinas de mergulho profundas e frias. ","Termas e Spa de Alba, Península de Mornington","2","0","2000.00"
8,"4.0","Uma viagem mágica na Lapônia finlandesa: visita à vila do Papai Noel, atividades de neve e uma noite em um iglu de vidro.","Pacote Aurora Boreal e Iglu de Vidro","1","0","11950.99"
9,"3.0","Descubra o charme de Cancún e relaxe no NIZUC Cancun Resort & Spa.","Pacote NIZUC Cancun Resort & Spa","2","0","15000.00"
10,"1.0","Se você curte uma viagem pouco planejada e sem necessidade de estar sempre acompanhado de um guia, voe para a Namíbia, alugue um carro e explore o país por si só. O país ao norte da África do Sul tem ótimas estradas, cidades com boa infraestrutura e opções de acomodação, um povo hospitaleiro e, claro, paisagens fascinantes com grande número de animais selvagens para o safari dos seus sonhos. A dica para começar é visitar o deserto de sal de Sossusvlei, não muito longe da capital Windhoek, no Namib Naukluft National Park. O lugar é um dos principais destinos no país e lá você pode avistar o famoso órix, além de avestruzes e cavalos selvagens.","Safari no Namíbia","9","0","8720.89"
11,"5.0","Faça um turismo em lugares aleatórios, vivendo experiências incriveis, conhecendo culinárias, culturas e muito mais. ","Kit Viagens","155","0","45645.00"
12,"4.0","wersadrdf","teste","34","1","123234.00"
